lag,std,r2
380,60,0.759037
380,70,0.783822
380,80,0.804440
380,90,0.821924
380,100,0.836994
380,110,0.850173
380,120,0.861818
380,130,0.872210
380,140,0.881552
380,150,0.889997
380,160,0.897677
380,170,0.904691
380,180,0.911127
380,190,0.917048
380,200,0.922517
380,210,0.927578
380,220,0.932273
380,230,0.936634
380,240,0.940684
380,250,0.944447
380,260,0.947930
380,270,0.951144
380,280,0.954091
380,290,0.956780
380,300,0.959214
380,310,0.961404
380,320,0.963355
380,330,0.965067
380,340,0.966555
380,350,0.967829
380,360,0.968895
380,370,0.969759
380,380,0.970438
380,390,0.970943
380,400,0.971285
390,10,0.452939
390,20,0.575747
390,30,0.643746
390,40,0.692635
390,50,0.730588
390,60,0.760861
390,70,0.785504
390,80,0.805999
390,90,0.823374
390,100,0.838345
390,110,0.851431
390,120,0.862988
390,130,0.873297
390,140,0.882562
390,150,0.890934
390,160,0.898546
390,170,0.905495
390,180,0.911871
390,190,0.917734
390,200,0.923148
390,210,0.928157
390,220,0.932802
390,230,0.937116
390,240,0.941119
390,250,0.944837
390,260,0.948277
390,270,0.951448
390,280,0.954354
390,290,0.957003
390,300,0.959398
390,310,0.961551
